,congressperson,first_pc,party,dw.nom.1
0,jahimes,1.913261,D,-0.258
1,jacksonleetx18,2.8210485,D,-0.475
2,askgeorge,1.8519381,D,-0.602
3,repkenmarchant,-3.1067445,R,0.593
4,repperlmutter,2.209052,D,-0.328
5,repmcgovern,2.9194412,D,-0.569
6,maxinewaters,3.4380982,D,-0.713
7,reppeteking,-0.14715055,R,0.264
8,repshimkus,-0.099431925,R,0.399
9,repgaramendi,2.4859788,D,-0.501
10,tomrooney,-1.5355756,R,0.462
11,dennisrossseu,-2.2428157,R,0.599
12,replouiegohmert,-3.1823378,R,0.54
13,ericcantor,-0.5349657,R,0.544
14,cbrangel,2.5394304,D,-0.556
15,kristinoem,-3.783213,R,0.377
16,stevekingia,-3.3662283,R,0.654
17,aaronschock,-0.9928429,R,0.341
18,repgusbilirakis,-2.7021842,R,0.362
19,judgetedpoe,-1.7228591,R,0.592
20,reichert4gov,0.039036434,R,0.192
21,tomlatham,-1.6193063,R,0.33
22,agtimgriffin,-2.2003412,R,0.441
23,repmikequigley,2.9644327,D,-0.358
24,jasoninthehouse,-2.190259,R,0.706
25,repcleaver,3.1013813,D,-0.491
26,boblatta,-1.4861828,R,0.536
27,repspeier,2.5448077,D,-0.437
28,rosadelauro,3.0988114,D,-0.446
29,repjamesclyburn,3.4240608,D,-0.481
30,chrisvanhollen,3.1442482,D,-0.423
31,senlummis,-1.8779336,R,0.642
32,repreneeellmers,-0.88026804,R,0.494
33,repdavid,-1.9363079,R,0.622
34,repjoebarton,-1.6072087,R,0.531
35,marshablackburn,-1.4696324,R,0.623
36,roslehtinen,0.42648518,R,0.241
37,repschrader,2.0186493,D,-0.242
38,repdianadegette,1.494413,D,-0.48
39,repgregwalden,-1.5309205,R,0.327
40,rephankjohnson,2.8755643,D,-0.485
41,repjimmcdermott,2.728457,D,-0.707
42,chakafattah,2.6081476,D,-0.504
43,senatorlankford,-1.0849143,R,0.553
44,danarohrabacher,-3.064888,R,0.612
45,randyneugebauer,-1.5747306,R,0.622
46,repgwenmoore,3.1417608,D,-0.578
47,repkarenbass,3.0206378,D,-0.57
48,greggharper,-2.6489556,R,0.471
49,replloyddoggett,2.182725,D,-0.452
50,erikpaulsen,-0.22391714,R,0.368
51,speakerpelosi,4.253976,D,-0.533
52,repraulgrijalva,3.170213,D,-0.639
53,shusterforpa9,-1.229793,R,0.408
54,bhigginsbflo,2.6798985,D,-0.37
55,repfleming,-2.8715324,R,0.547
56,reptomprice,-2.5513747,R,0.642
57,repnickrahall,0.4425998,D,
58,michaelcburgess,-1.2147121,R,0.523
59,stenyhoyer,2.6392574,D,-0.395
60,repdonnaedwards,3.5319185,D,-0.621
61,repkevinbrady,-1.4027218,R,0.525
62,repjohnconyers,3.1693342,D,-0.717
63,repmikecoffman,-1.1319641,R,0.548
64,vernbuchanan,-2.5659885,R,0.325
65,repjohnlewis,2.1184745,D,-0.634
66,repgoodlatte,-1.0975841,R,0.477
67,patrickmchenry,-2.185893,R,0.606
68,jefffortenberry,-1.3752024,R,0.285
69,repwalterjones,-0.43652254,R,0.255
70,randy_forbes,-0.7985712,R,0.407
71,virginiafoxx,-2.1425252,R,0.665
72,dwstweets,2.9162753,D,
73,chairmanmckeon,-0.44632375,R,0.418
74,jackkingston,-1.8883375,R,0.542
75,repfredupton,-0.79050446,R,0.316
76,keithellison,2.7658162,D,-0.634
77,repsteveisrael,3.0812805,D,-0.348
78,robwittman,-0.37465072,R,0.363
79,johndingell,2.8523896,D,-0.459
80,congressmangt,-0.20297563,R,0.353
81,mikehmichaud,1.5140032,D,-0.306
82,tgowdysc,-1.7203999,R,0.732
83,speakerryan,-2.5487232,R,0.567
84,toddrokita,-2.2415574,R,0.635
85,judgecarter,-1.7057273,R,0.513
86,congbillposey,-2.9206479,R,0.425
87,paulbrounforga,-2.5788488,R,0.954
88,repmikehonda,3.3211524,D,-0.574
89,repjimmatheson,-1.6424881,D,-0.147
90,chelliepingree,2.1595323,D,-0.504
91,drphilgingrey,-1.2295045,R,0.564
92,candicemiller,-1.5285228,R,0.306
93,congressmandan,-1.7431059,R,0.625
94,janschakowsky,3.0050073,D,-0.647
95,seanduffywi,-1.9148418,R,0.475
96,repmikerogersal,-2.168509,R,0.346
97,frankpallone,2.8893683,D,-0.423
98,peterroskam,-1.6235948,R,0.454
99,repmcclintock,-0.78333634,R,0.733
100,reptomgraves,-0.6587687,R,0.914
101,cathymcmorris,-1.7375853,R,0.436
102,jim_moran,2.216615,D,-0.328
103,michelebachmann,-2.0826752,R,0.579
104,petesessions,-2.0527637,R,0.6
105,alangrayson,2.5758688,D,-0.384
106,jim_jordan,-2.3916383,R,0.67
107,peteolson,-2.9485354,R,
108,secbecerra,1.4462271,D,-0.554
